datetime	Q_Res_R	Q_Res_S
2017-08-28	9.968962291666665	9.446843383214135
2017-08-29	9.989473435275508	9.468486688473503
2017-08-30	10.098044944649446	9.573435534991566
2017-08-31	10.187630357982753	9.639460057314606
2017-09-01	10.232354777748895	9.63198268096595
2017-09-02	10.225063104880581	9.54700286305893
2017-09-03	10.298278162460567	9.55798393382571
2017-09-04	10.35947464057508	9.518604299533813
2017-09-05	10.407499466019416	9.429868581375134
2017-09-06	10.447539909836065	9.29993872696694
2017-09-07	10.517095542635658	9.26264531749806
2017-09-08	10.61185681537598	9.328037856766555
2017-09-09	10.647828356860531	9.343047352002824
2017-09-10	10.647828356860531	9.343047352002824
2017-09-11	10.647828356860531	9.343047352002824
2017-09-12	10.69542946890088	9.381104590195683
2017-09-13	10.791372807371149	9.448316140604376
2017-09-14	10.867141964963503	9.460008044930804
2017-09-15	10.924200014806042	9.446009561613266
2017-09-16	11.00891078101532	9.484932338228898
2017-09-17	11.096847851264858	9.494789081630294
2017-09-18	11.211702684812867	9.56435837413981
2017-09-19	11.283497287284142	9.583970008184302
2017-09-20	11.374142400382532	9.65187874992158
2017-09-21	11.458582926513433	9.714297532013275
2017-09-22	11.512684255179218	9.730563785778692
2017-09-23	11.563102445706647	9.73194470374006
2017-09-24	11.614506196943973	9.729781222209848
2017-09-25	11.643047348981703	9.720518668674492
2017-09-26	11.652465289575288	9.708806049939628
2017-09-27	11.662135362062877	9.698368511020135
2017-09-28	11.674148036286018	9.695768858850231
2017-09-29	11.701368812884544	9.706671286512124
2017-09-30	11.722875966850827	9.694637664308654
2017-10-01	11.701528023997	9.628038719505437
2017-10-02	11.596849614356625	9.522041708310041
2017-10-03	11.397626970050565	9.417079726778296
2017-10-04	11.24609926848249	9.415402715230739
2017-10-05	11.174058782101167	9.485513134999222
2017-10-06	11.073788112840468	9.564200699150195
2017-10-07	11.016926653696498	9.704177015980934
2017-10-08	10.991640042834893	9.76641192100078
2017-10-09	10.995129482087227	9.814744638580219
2017-10-10	10.959104899408285	9.870236546022486
2017-10-11	10.881850059952036	9.903036865459232
2017-10-12	10.75885068745004	9.978296872784172
2017-10-13	10.602606306954435	10.087573456440047
2017-10-14	10.4929279696243	10.164401131458433
2017-10-15	10.491920783373303	10.401811751720224
2017-10-16	10.504945971223021	10.583926286340928
2017-10-17	10.4472709392486	10.64429393107594
2017-10-18	10.350617697841725	10.654945874683854
2017-10-19	10.27117557953637	10.678827516048761
2017-10-20	10.234882794882049	10.719991020868054
2017-10-21	10.182842594962015	10.777413470810876
2017-10-22	10.125328572	10.8435144087612
2017-10-23	10.166157803121248	10.943277645017607
2017-10-24	10.223587460953143	11.051825348617541
2017-10-25	10.22254535442531	11.175719198921906
2017-10-26	10.226202520032052	11.38404817549439
2017-10-27	10.13742610977564	11.489903624745592
2017-10-28	10.038674803685899	11.523195911073318
2017-10-29	10.04140530048077	11.62323177875
2017-10-30	9.939285120192308	11.549532558133814
2017-10-31	9.893043954326924	11.57862004325
2017-11-01	9.915027757009346	11.670124269568062
2017-11-02	9.94283141147338	11.837321571453984
2017-11-03	10.090733371853075	12.05571574984936
2017-11-04	10.185954259567387	12.204662765200084
2017-11-05	10.27704703310696	12.302435412044991
2017-11-06	10.381813349220103	12.435068161975735
2017-11-07	10.496169137168142	12.547065646222567
2017-11-08	10.597337206148282	12.640816060131556
2017-11-09	10.701748798521256	12.730607498792976
2017-11-10	10.79930572778828	12.816696221400756
2017-11-11	10.902158114119922	12.98074458840909
2017-11-12	11.032544881188118	13.106698998946534
2017-11-13	11.18019128296146	13.248860942290568
2017-11-14	11.358319875259875	13.460025376055611
2017-11-15	11.502753811300638	13.620961316598615
2017-11-16	11.491334009846828	13.640346900635121
2017-11-17	11.490483937568456	13.642624861303942
2017-11-18	11.490483937568456	13.642624861303942
2017-11-19	11.490483937568456	13.642624861303942
2017-11-20	11.490483937568456	13.642624861303942
2017-11-21	11.472125230852798	13.646299819657251
2017-11-22	11.32840353293413	13.537293954000546
